zero_crossing_rate_mean,energy_mean,entropy_of_energy_mean,spectral_centroid_mean,spectral_spread_mean,spectral_entropy_mean,spectral_flux_mean,spectral_rolloff_mean,MFCC1_mean,MFCC2_mean,MFCC3_mean,MFCC4_mean,MFCC5_mean,MFCC6_mean,MFCC7_mean,MFCC8_mean,MFCC9_mean,MFCC10_mean,MFCC11_mean,MFCC12_mean,MFCC13_mean,chroma_vector1_mean,chroma_vector2_mean,chroma_vector3_mean,chroma_vector4_mean,chroma_vector5_mean,chroma_vector6_mean,chroma_vector7_mean,chroma_vector8_mean,chroma_vector9_mean,chroma_vector10_mean,chroma_vector11_mean,chroma_vector12_mean,chroma_deviation_mean,zero_crossing_rate_sd,energy_sd,entropy_of_energy_sd,spectral_centroid_sd,spectral_spread_sd,spectral_entropy_sd,spectral_flux_sd,spectral_rolloff_sd,MFCC1_sd,MFCC2_sd,MFCC3_sd,MFCC4_sd,MFCC5_sd,MFCC6_sd,MFCC7_sd,MFCC8_sd,MFCC9_sd,MFCC10_sd,MFCC11_sd,MFCC12_sd,MFCC13_sd,chroma_vector1_sd,chroma_vector2_sd,chroma_vector3_sd,chroma_vector4_sd,chroma_vector5_sd,chroma_vector6_sd,chroma_vector7_sd,chroma_vector8_sd,chroma_vector9_sd,chroma_vector10_sd,chroma_vector11_sd,chroma_vector12_sd,chroma_deviation_sd
1.480270011250468809e-02,6.086124302845809242e-02,3.222495555640785270e+00,6.700361256090540951e-02,1.322119496593543997e-01,1.020255003494149881e-02,4.148832444667729588e-03,2.256249999999999922e-02,-2.223458933612385735e+01,3.105334336806033768e+00,-6.520323799679668131e-01,-2.237785173091859647e-01,-4.147572469361093805e-01,4.889337539447918823e-01,6.093821881104293237e-01,5.286504478310452004e-01,-4.960485357107054516e-01,-4.338104604145113230e-01,3.192141497967301844e-02,3.037653684403914811e-01,5.302653932149251070e-03,3.271856893412702287e-04,3.184424299471973088e-04,3.087558772978863221e-04,9.751337371918834818e-04,3.860486489021260981e-04,1.228500466649158109e-03,4.649246482952331117e-01,1.207437353989121009e-03,1.339839358254976470e-03,3.513989995308798293e-04,5.208657037262767091e-04,1.012832586764823465e-04,1.283223489204214918e-01,6.320244814915901288e-03,3.361222638275963848e-02,1.355170145064293896e-01,6.032040775777635505e-03,1.475186836127966201e-02,3.974179002764268408e-03,3.488794400107114897e-03,1.120167088230839122e-03,6.247909031248078948e-01,4.899444334348846408e-01,1.227686893215221564e-01,1.963974298578201605e-01,1.099228923440369460e-01,1.805012139499711232e-01,1.391787880630080687e-01,1.480720569466341119e-01,2.197626926839069128e-01,1.363628571559856451e-01,1.096245439097022628e-01,1.154160201532629521e-01,1.431484391388115063e-01,1.735110172905037992e-04,2.701179656474965917e-04,1.334945291502224519e-04,8.240712611926896605e-04,1.518871127902848069e-04,6.063781719018071070e-04,2.394033353442522050e-01,6.797777665858156662e-04,9.207148787427287505e-04,6.415868574646244027e-05,8.193136773610909984e-05,4.623312708460723788e-05,6.612228580505634390e-02
2.309471227967832205e-02,8.696590841765489133e-02,3.133746156276229655e+00,8.536105826099522897e-02,1.430488332555517605e-01,2.190543636902905072e-02,6.311820795165954019e-03,3.031249999999999917e-02,-2.145481465570549773e+01,2.176407550030956095e+00,-9.925094851342224356e-01,4.939085776875067058e-02,3.554208259711460482e-01,6.909517231559980655e-01,-3.280882309632399130e-02,-2.793572869056340502e-02,4.873278340701968636e-01,3.432471174457072394e-01,-3.675910550969251345e-01,4.214646940457059121e-02,3.003879426001124786e-01,1.017663190965376058e-04,1.957916478752897761e-04,2.125537179240599185e-04,1.065461903631271124e-03,5.347483264796413192e-04,3.098724096252996533e-04,1.522291287599554788e-01,3.973202656519120649e-03,2.248199468968711291e-03,8.109186976767869927e-04,1.210133540807495963e-03,2.984089251598656071e-04,4.183933916466877484e-02,8.503691849484591031e-03,1.855034721084886443e-02,1.054675252894684556e-01,1.143666098714454446e-02,2.953369599512948446e-02,8.812087150987949272e-03,2.164914858386229272e-03,4.805008599252335623e-03,5.785120884544178166e-01,5.953447684622313885e-01,3.273267197065526934e-01,1.906688707820125284e-01,3.573495412823061157e-01,6.785895712041443983e-02,4.569565916468160127e-01,5.313391762241201910e-01,4.712194508544225169e-01,7.300386538972345463e-01,2.406990584885064510e-01,3.813351777425944000e-01,2.341583877289952487e-01,8.463675342094839908e-05,2.584329004067773038e-04,2.281994560086642618e-04,1.101715216777009393e-03,7.008042447143970422e-04,1.516879128990554894e-04,4.049721596475109459e-02,5.603095598130689720e-03,1.565821101277850048e-03,5.132527369085044438e-04,1.238737367385201859e-03,1.242561728542613923e-04,1.115617604663428526e-02
2.568857035709821296e-02,9.430783992568864127e-02,3.214528767896536188e+00,7.854253506027179810e-02,1.333892225386196784e-01,2.065629963364645771e-02,5.274026298227692776e-03,2.831250000000000086e-02,-2.099222302416575303e+01,1.918086001545836972e+00,-1.227764551422414030e+00,5.570899250820094545e-02,1.066175100423620431e-01,1.161400112723023792e+00,6.133027760953364549e-01,-5.533896710134628139e-01,-4.418290101557940108e-01,7.135440012237962426e-01,4.683463133986531801e-01,-1.402122375778296348e-01,-5.813094286016556866e-02,4.041701908783003902e-04,2.467844834423416609e-04,3.176727439576263693e-04,4.990663363308426746e-04,1.240035639009676345e-03,3.880973644369785369e-02,3.460868671933500784e-02,1.138453193271795911e-03,2.033400534380796001e-03,1.440444017684746171e-03,5.479081353372745357e-04,1.408629538467145385e-04,1.665764418417707560e-02,2.540491459930062108e-03,2.266675119470132338e-02,8.256758022459537161e-02,1.361736958841996969e-02,2.819278545924884527e-02,4.388477622048080583e-03,2.978476878542940087e-03,2.514109490013866337e-03,4.341922441977305591e-01,3.791415080056935727e-01,3.473492326084477999e-01,2.089649697840345599e-01,1.143893703050977012e-01,1.234000724597528464e-01,1.204971834271094389e-01,2.387504067841955957e-01,1.663004229570212988e-01,3.995145191409673613e-01,3.389362361418513103e-01,1.814561801826417575e-01,2.047880844145889834e-02,3.991326926498951354e-04,2.271921385362705114e-04,2.674596285975824623e-04,4.530909697811327992e-04,1.079226843140757269e-03,3.995004265069136695e-02,2.035608288575937314e-02,1.081630268496248546e-03,2.520981558471553554e-03,2.012397053750909510e-03,4.424072003289404695e-04,1.838100777731758019e-04,7.520701800156758855e-03
2.443851827159464890e-02,1.043624781524094269e-01,3.181062820956197079e+00,6.816832254717394846e-02,1.212834132029834838e-01,1.142004630815789470e-02,6.589654845375225896e-03,3.322916666666667074e-02,-2.104541731270621341e+01,2.160067541557327608e+00,-1.423586019114314816e+00,4.024093891170058002e-01,2.219681965956832870e-01,8.513889856466705375e-01,1.545872306838622645e-01,-3.685687047884056988e-01,-3.775907715320699076e-02,8.689022794799785565e-01,2.057320224558658039e-01,-2.129151398248321225e-01,-1.150676847263454039e-01,2.991524311045865026e-04,8.031209313166914584e-04,4.142173008480852492e-04,6.866035158604575804e-04,1.797604818658188938e-03,3.126073899926911509e-02,1.320111049218041996e-02,9.061740428171344286e-04,1.495619356969633872e-03,9.765336434265892672e-04,3.608363204626771322e-04,1.097345957097808509e-04,9.111771358513837821e-03,4.926264439284210213e-03,3.619372199681150648e-02,1.510218932202997688e-01,1.673834870432155605e-02,3.532119225646121463e-02,5.622241811188271980e-03,2.497451654319704246e-03,3.550907063303997309e-03,4.646883454913032785e-01,5.457071367204431311e-01,1.408640179468744202e-01,1.113408405879647567e-01,3.261489810092431108e-01,3.908744564160883117e-01,1.137468353008713878e-01,5.377901311664563533e-01,2.190291689870642600e-01,3.867106619527898026e-01,2.566283449699769403e-01,3.712539164247363049e-02,2.115068506863437559e-01,3.267444098699455067e-04,9.036106102492504413e-04,2.262114085639729702e-04,5.464567170070498301e-04,6.536966991685097062e-04,1.486181708314951617e-02,9.052179718615088050e-03,3.155083298020347916e-04,4.859045414885901338e-04,1.032106312694989992e-03,2.032473092923119367e-04,5.318342124488969390e-05,4.093527230563102047e-03
2.698029084545189651e-02,7.089142613950143168e-02,3.185160998501127327e+00,1.046206140042491156e-01,1.650549168564376945e-01,2.781079907765963977e-02,3.907167421829332334e-03,2.777083333333333487e-02,-2.183183898398490896e+01,2.593115869521429140e+00,-9.668103983110697408e-01,-1.790516979941426945e-01,-1.153632362899383035e-02,7.721006737060733816e-01,5.422581866927898009e-01,-2.872601333795937184e-01,-4.557132819650647759e-01,5.843659824881507481e-01,4.411728766690632408e-01,-2.656362846832118763e-01,-1.896820176258156021e-01,2.440903975574816207e-04,9.298903475010544643e-04,7.313789033163336020e-04,1.068057523219476460e-02,4.847604651893470777e-03,7.195052254193304818e-03,3.900909099497542731e-03,8.816630909968959772e-04,1.561969438896991958e-03,1.725082888389205640e-04,5.744959404561903946e-03,8.236008500126023940e-05,3.783255171230243651e-03,3.274815718240617086e-03,2.500283300777242021e-02,1.542359023962899256e-01,2.416449281562109072e-02,2.746894812970796657e-02,6.116792471060133844e-03,1.596434435499162864e-03,1.606599886233172356e-03,2.541263121147819271e-01,2.275919453852588148e-01,2.336603208895581263e-01,8.119018955709361718e-02,1.129429397839909754e-01,1.517918179353661690e-01,1.235522496696025846e-01,3.284218369862226816e-01,3.149651263723108330e-01,1.068565402122309549e-01,2.619330650790702153e-01,3.521293904538864289e-02,5.761614277238700371e-02,3.151040575408707470e-04,1.038211741436631096e-03,4.018616411212122650e-04,5.172408746369608346e-03,3.427278263177700301e-03,1.091566038349032000e-02,1.875714614635323437e-03,1.108985081389490032e-03,1.526044664679920100e-03,1.693640541660917508e-04,4.871628608860094529e-03,5.731505503612433541e-05,2.586554798375992077e-03
